   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    101000   15018.507      1122490        8000          -1394.2809      1535.5639      141.28299      5746.1088    
    102000   15428.121      1101206.8      8000          -1455.0814      1577.4447      122.36336      5620.9176    
    103000   14761.173      1111345.3      8000          -1405.2429      1509.2528      104.00989      5653.1876    
    104000   14258.474      1119975.1      8000          -1372.2366      1457.8545      85.617884      5677.8862    
    105000   14209.743      1115310.2      8000          -1385.4597      1452.872       67.412338      5636.388     
    106000   14406.262      1099673.1      8000          -1423.5447      1472.965       49.420354      5540.3166    
    107000   14531.367      1091972.1      8000          -1454.3406      1485.7563      31.415714      5483.8592    
    108000   14109.29       1099068.4      8000          -1428.8459      1442.6012      13.755347      5501.632     
    109000   14398.743      1082607.8      8000          -1475.9821      1472.1963     -3.7858349      5401.8998    
    110000   13693.052      1098941.8      8000          -1421.0039      1400.043      -20.96091       5466.2838    
    111000   14129.683      1071717.9      8000          -1482.7517      1444.6863     -38.065369      5313.2446    
    112000   13840.582      1076456.5      8000          -1470.1566      1415.1272     -55.02936       5319.9415    
    113000   13509.008      1078586.3      8000          -1453.0725      1381.2255     -71.847058      5313.7584    
    114000   13461.532      1071769.3      8000          -1464.8852      1376.3713     -88.513952      5263.0529    
    115000   13664.247      1063321.4      8000          -1502.24        1397.0978     -105.14214      5204.2424    
    116000   13518.083      1058042.3      8000          -1503.6685      1382.1533     -121.51515      5161.5096    
    117000   13485.602      1055164.3      8000          -1516.6717      1378.8323     -137.83941      5130.8153    
    118000   13325.958      1049865.6      8000          -1516.4916      1362.5096     -153.98202      5088.215     
    119000   12803.355      1055609.3      8000          -1478.9285      1309.0761     -169.85234      5101.0241    
    120000   12801.552      1050747.2      8000          -1494.4978      1308.8918     -185.60599      5060.993     
    121000   12908.621      1044564.8      8000          -1521.1365      1319.839      -201.29751      5014.4314    
    122000   12985.125      1037536.3      8000          -1544.4202      1327.6612     -216.75904      4963.8751    
    123000   12614.364      1037402.9      8000          -1521.786       1289.7528     -232.03319      4947.9351    
    124000   12690.743      1033876.9      8000          -1544.8246      1297.5622     -247.26244      4915.0994    
    125000   12783.102      1018878.6      8000          -1569.2865      1307.0053     -262.28117      4825.1914    
    126000   12475.185      1023147.9      8000          -1552.6369      1275.5225     -277.11442      4831.6754    
    127000   12329.16       1017574.1      8000          -1552.4252      1260.5921     -291.83306      4789.1256    
    128000   12166.06       1023289.1      8000          -1550.4388      1243.9161     -306.5227       4802.9722    
    129000   12282.873      1016371.9      8000          -1576.9462      1255.8596     -321.08658      4753.8695    
    130000   11855.676      1021381.4      8000          -1547.5923      1212.1809     -335.41139      4764.5579    
    131000   12310.317      1000926.2      8000          -1608.2439      1258.6656     -349.57835      4648.254     
    132000   12090.59       998346.41      8000          -1599.9363      1236.1997     -363.7366       4621.2144    
    133000   11756.048      1001073        8000          -1579.5825      1201.9945     -377.58804      4620.9774    
    134000   12187.445      991061.34      8000          -1637.6246      1246.1025     -391.52204      4557.0531    
    135000   11954.175      989696.51      8000          -1627.5685      1222.2519     -405.31658      4536.4436    
    136000   11797.95       989551.91      8000          -1624.9969      1206.2787     -418.71814      4522.32      
    137000   11414.853      984914.95      8000          -1599.2687      1167.1091     -432.15966      4485.7252    
    138000   11759.002      981595.13      8000          -1647.8412      1202.2965     -445.54472      4455.7636    
    139000   11338.12       983967.41      8000          -1618.0461      1159.2635     -458.78257      4454.3711    
    140000   11389.358      975392.84      8000          -1636.2954      1164.5024     -471.79306      4398.546     
    141000   11251.014      978561.09      8000          -1635.007       1150.3574     -484.64953      4401.5092    
    142000   11288.219      969710.33      8000          -1651.7591      1154.1614     -497.59771      4344.3673    
    143000   11040.607      969874.35      8000          -1639.1454      1128.8444     -510.301        4332.483     
    144000   10894.592      970192.65      8000          -1636.728       1113.9151     -522.81296      4321.5604    
    145000   10983.095      966811.44      8000          -1658.3288      1122.964      -535.36475      4292.1256    
    146000   11134.79       959158.67      8000          -1686.2465      1138.4741     -547.77242      4241.506     
    147000   10769.06       959420.6       8000          -1661.0756      1101.0801     -559.99555      4230.5908    
    148000   10472.772      960177.38      8000          -1642.8878      1070.7862     -572.1016       4222.2635    
    149000   10918.662      943328.35      8000          -1700.6804      1116.3761     -584.30429      4125.93      
    150000   10761.485      946612.5       8000          -1696.5174      1100.3056     -596.21182      4130.421     
    151000   10588.177      944626.06      8000          -1690.6451      1082.5858     -608.05932      4108.6548    
    152000   10245.491      948030.29      8000          -1667.375       1047.5479     -619.82705      4113.8851    
    153000   10026.225      950430.15      8000          -1656.5946      1025.1291     -631.4655       4114.2296    
    154000   10286.729      940373.29      8000          -1694.8073      1051.7643     -643.04298      4052.4361    
    155000   10167.521      941895.22      8000          -1694.1026      1039.5758     -654.52679      4048.5517    
    156000   10068.413      936093.95      8000          -1695.2843      1029.4427     -665.84161      4008.2699    
    157000   9867.2605      936074.13      8000          -1686.0681      1008.8758     -677.1923       3996.8203    
    158000   10329.375      916417.92      8000          -1744.5488      1056.1246     -688.42415      3887.4408    
    159000   9753.8269      933009.36      8000          -1696.6194      997.27783     -699.34157      3959.3679    
