#	Time-averaged	data	for	fix	savemsd
#	TimeStep	c_msd[1]	c_msd[2]	c_msd[3]	c_msd[4]
249000	27.9291	34.7324	245.655	308.317
250000	25.3729	33.2092	236.762	295.344
251000	26.345	34.021	230.66	291.026
252000	27.5308	32.4249	231.724	291.68
253000	27.4095	31.5067	231.693	290.61
254000	31.0365	31.5701	233.975	296.581
255000	31.4	29.097	229.41	289.907
256000	31.9886	32.612	229.024	293.624
257000	33.811	31.9056	230.783	296.5
258000	34.1869	30.8866	230.19	295.263
259000	29.3111	31.5805	233.925	294.816
260000	28.6705	30.5193	239.678	298.867
261000	27.4831	33.7223	242.12	303.325
262000	25.7745	36.3257	240.927	303.028
263000	26.4964	35.1412	244.695	306.332
264000	28.4118	34.2452	243.818	306.475
265000	27.3056	38.857	251.369	317.532
266000	27.1921	41.3318	253.787	322.311
267000	28.124	36.6271	249.262	314.013
268000	29.1285	36.1464	253.238	318.513
269000	28.3175	36.5931	258.141	323.052
270000	27.3349	36.3728	257.059	320.766
271000	27.8797	34.4382	259.041	321.359
272000	26.9553	33.8887	258.275	319.119
273000	28.6384	32.6591	250.826	312.123
274000	31.1586	32.0813	251.322	314.562
275000	29.7076	33.2051	252.855	315.768
276000	29.1691	31.5644	257.892	318.626
277000	29.3228	32.9366	252.574	314.833
278000	30.589	31.1086	248.736	310.434
279000	27.3923	29.3946	249.168	305.955
280000	28.8657	31.1258	262.805	322.796
281000	30.6096	31.2141	266.458	328.282
282000	29.3391	32.439	269.703	331.481
283000	29.9701	33.3043	263.112	326.386
284000	32.7339	32.7395	263.726	329.2
285000	33.1242	31.6058	269.75	334.48
286000	31.2894	33.1508	263.796	328.236
287000	31.3693	31.9937	266.613	329.976
288000	29.9203	31.5751	260.514	322.009
289000	29.1822	34.2082	267.987	331.378
290000	29.2842	32.3474	267.868	329.5
291000	29.7099	32.3403	265.085	327.136
292000	29.4366	32.4688	264.501	326.406
293000	31.2778	32.3681	268.407	332.053
294000	33.0393	33.2662	269.297	335.603
295000	28.2922	32.8788	265.784	326.955
296000	37.3229	31.5663	259.977	328.866
297000	34.1663	30.7278	256.344	321.239
298000	37.1564	34.0964	251.42	322.673
299000	40.2471	32.3045	250.136	322.688
300000	37.6815	33.8414	248.805	320.328
301000	33.5424	35.5321	247.72	316.794
302000	30.3314	37.1937	244.339	311.864
303000	29.0625	35.404	249.694	314.16
304000	27.611	39.1829	245.37	312.164
305000	26.3428	36.028	250.938	313.309
306000	24.6608	39.1078	255.957	319.726
307000	23.9568	41.2313	261.34	326.528
308000	22.616	44.5078	256.028	323.152
309000	22.0897	43.0178	258.688	323.795
310000	20.8143	42.3256	253.503	316.643
311000	23.1447	41.2403	253.157	317.542
312000	23.7031	35.6383	253.36	312.701
313000	23.6779	36.328	247.306	307.312
314000	21.9409	36.0053	248.426	306.372
315000	24.9171	34.6336	245.306	304.856
316000	25.3327	33.1865	250.766	309.285
317000	29.283	33.4752	257.748	320.506
318000	28.0283	31.8287	263.801	323.658
319000	26.2118	31.3708	264.236	321.819
320000	26.4791	29.8149	267.143	323.437
321000	26.4742	31.1389	269.516	327.129
322000	25.091	33.2778	267.109	325.478
