   Step          Temp          E_pair         E_mol          TotEng         Press     
    645000   2825.3759     -2880.2945      0             -2565.1196     -6817.6972    
    648000   2863.5014     -2877.0798      0             -2557.6519     -6222.1648    
    651000   2863.4586     -2871.9472      0             -2552.5241     -2346.6871    
    654000   2945.6112     -2893.0521      0             -2564.4648     -12388.937    
    657000   2756.2129     -2886.8059      0             -2579.3462     -9405.479     
    660000   3031.6474     -2876.2652      0             -2538.0804     -1721.343     
    663000   3176.3656     -2871.3667      0             -2517.0383      2093.184     
    666000   2931.2815     -2876.5577      0             -2549.5689     -2144.1199    
    669000   2976.5977     -2868.6996      0             -2536.6557     -1792.2685    
    672000   3044.9234     -2872.8606      0             -2533.1948     -2663.3163    
    675000   3015.1601     -2867.2885      0             -2530.9428     -915.17759    
    678000   3057.4551     -2877.7391      0             -2536.6754     -4144.8896    
    681000   2908.2354     -2873.1095      0             -2548.6915     -1020.7402    
    684000   3016.7148     -2875.7756      0             -2539.2565     -4997.3015    
    687000   3017.1301     -2891.1466      0             -2554.5812     -9566.6698    
    690000   2892.9399     -2871.5865      0             -2548.8747     -1147.8224    
    693000   2950.481      -2889.0737      0             -2559.9431     -10077.984    
    696000   3064.7295     -2883.3215      0             -2541.4464     -4550.4863    
    699000   3121.2854     -2880.0067      0             -2531.8226     -4498.5156    
    702000   3073.4495     -2888.3548      0             -2545.5068     -9301.5253    
    705000   2951.1294     -2875.8694      0             -2546.6665     -5331.3585    
    708000   3139.9789     -2878.7878      0             -2528.5185     -1255.5688    
    711000   3047.9442     -2878.35        0             -2538.3473     -4708.5546    
    714000   3004.8196     -2891.6414      0             -2556.4493     -9259.2817    
    717000   2968.9303     -2878.6194      0             -2547.4308     -2309.3948    
    720000   2936.7195     -2877.0813      0             -2549.4858     -3825.9108    
    723000   2952.0941     -2880.4933      0             -2551.1828     -5642.52      
    726000   3024.2217     -2869.5247      0             -2532.1682     -88.850016    
    729000   2983.7054     -2875.5376      0             -2542.7007     -3672.5827    
    732000   3076.4079     -2877.9745      0             -2534.7966     -3570.2667    
    735000   2933.2039     -2873.9931      0             -2546.7898     -1744.6784    
    738000   3066.936      -2895.5422      0             -2553.4209     -11600.744    
    741000   3025.5131     -2874.6217      0             -2537.1212     -2121.6269    
    744000   3042.0349     -2879.9827      0             -2540.6392     -3048.7049    
    747000   2835.2777     -2873.9517      0             -2557.6722     -1572.9006    
    750000   3055.7417     -2879.9171      0             -2539.0445     -3810.0331    
    753000   2896.2263     -2864.3377      0             -2541.2593      2551.736     
    756000   3073.046      -2871.518       0             -2528.7151      910.19957    
    759000   3079.4561     -2886.1393      0             -2542.6214     -4965.5451    
    762000   2866.1434     -2885.4463      0             -2565.7237     -9654.1385    
    765000   2984.422      -2880.2734      0             -2547.3566     -5498.8175    
    768000   2915.264      -2877.7487      0             -2552.5467     -6108.4692    
    771000   2913.3646     -2870.8446      0             -2545.8544     -1613.8877    
    774000   2926.7268     -2874.529       0             -2548.0482     -2089.0823    
    777000   3102.5        -2878.386       0             -2532.2974     -3192.4768    
    780000   3016.6155     -2874.5173      0             -2538.0093     -784.86897    
    783000   2989.1965     -2885.87        0             -2552.4206     -7611.3861    
    786000   3153.6291     -2874.4158      0             -2522.6237     -1246.3232    
    789000   3044.2413     -2883.2837      0             -2543.694      -5614.014     
    792000   3072.193      -2876.3665      0             -2533.6587     -2542.6259    
    795000   3026.7169     -2878.5147      0             -2540.8799     -4892.936     
    798000   2900.4633     -2876.585       0             -2553.0339     -3633.3223    
    801000   3072.2145     -2880.3233      0             -2537.6132     -3655.0474    
    804000   3044.1903     -2872.6255      0             -2533.0415     -548.45483    
    807000   2930.9203     -2873.332       0             -2546.3834     -1665.6318    
    810000   2904.9747     -2886.3352      0             -2562.2809     -10238.188    
    813000   2974.1788     -2881.2728      0             -2549.4986     -7038.9679    
    816000   2970.7837     -2889.6819      0             -2558.2865     -10043.931    
    819000   3037.8821     -2884.6335      0             -2545.7532     -7634.7052    
    822000   3083.0869     -2887.219       0             -2543.296      -6358.7233    
    825000   3006.5487     -2890.6218      0             -2555.2368     -7393.524     
    828000   3091.9125     -2877.0948      0             -2532.1873     -3629.6695    
    831000   3034.7001     -2892.1742      0             -2553.6489     -10553.826    
    834000   3108.1165     -2874.9222      0             -2528.2071     -1541.9848    
    837000   3019.4481     -2866.2141      0             -2529.3901      166.86789    
    840000   2951.3919     -2895.3185      0             -2566.0863     -11805.853    
    843000   2975.0556     -2884.9671      0             -2553.0952     -6776.6041    
    846000   3049.6006     -2868.1656      0             -2527.9781     -974.65282    
    849000   3064.7905     -2870.3292      0             -2528.4472      1008.9442    
    852000   3107.3929     -2889.6534      0             -2543.019      -10520.937    
    855000   2926.5448     -2873.0793      0             -2546.6188     -2059.0724    
    858000   2868.624      -2876.1663      0             -2556.167      -4186.8071    
    861000   2976.5098     -2874.3472      0             -2542.3131     -3915.002     
    864000   2909.8973     -2886.1662      0             -2561.5628     -7298.643     
    867000   3057.9376     -2887.1694      0             -2546.0519     -8171.3852    
    870000   3009.6797     -2888.7602      0             -2553.0259     -8771.7376    
    873000   2954.3164     -2871.1729      0             -2541.6145     -1634.7268    
    876000   3079.7583     -2888.8133      0             -2545.2616     -5202.5946    
    879000   3199.4134     -2888.1154      0             -2531.2161     -6744.0365    
    882000   3015.1264     -2880.268       0             -2543.9261     -2261.7778    
    885000   2940.2947     -2877.57        0             -2549.5757     -5846.1963    
    888000   3109.8997     -2881.6978      0             -2534.7838     -4746.3524    
    891000   2946.0673     -2873.7343      0             -2545.0961     -1176.5606    
    894000   3124.3891     -2869.4273      0             -2520.897       2147.9081    
    897000   3026.1755     -2862.9535      0             -2525.3791      3589.7294    
    900000   3018.9657     -2898.3115      0             -2561.5413     -13229.012    
    903000   2985.8051     -2867.7527      0             -2534.6817      626.51899    
    906000   3006.2169     -2883.0765      0             -2547.7284     -6641.9219    
    909000   2955.5661     -2879.0676      0             -2549.3698     -4989.3811    
    912000   2895.7709     -2879.0388      0             -2556.0112     -4183.5835    
    915000   2999.9646     -2885.7375      0             -2551.087      -6209.3233    
    918000   2861.2982     -2871.9216      0             -2552.7395     -2939.107     
    921000   2976.4662     -2891.3104      0             -2559.2811     -6895.0287    
    924000   2921.2857     -2881.6695      0             -2555.7957     -5619.3772    
    927000   3112.7075     -2893.8283      0             -2546.601      -10982.081    
    930000   2901.9449     -2869.6286      0             -2545.9123     -522.33095    
    933000   2883.1415     -2880.5359      0             -2558.9171     -5752.6595    
    936000   3083.9887     -2879.4624      0             -2535.4388     -3802.8802    
    939000   3078.2094     -2877.5422      0             -2534.1633     -1633.0976    
    942000   3036.7442     -2885.4951      0             -2546.7418     -6716.0779    
    945000   3043.117      -2886.5003      0             -2547.036      -6864.7114    
    948000   2999.4601     -2884.4781      0             -2549.8838     -7478.6641    
    951000   2913.4422     -2879.667       0             -2554.6682     -5202.7441    
    954000   3054.4192     -2896.1873      0             -2555.4622     -12305.415    
    957000   2950.7845     -2879.9234      0             -2550.759      -4246.518     
