   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
     95000   3126.3989     -1403.9773      12419.207     -2893.1012      348.7545      -2544.3467     -2555.2296    
     96000   3105.3294      3169.295       12419.207     -2881.0379      346.40417     -2534.6337     -2510.0671    
     97000   3082.5529     -3609.2674      12419.207     -2894.6743      343.86342     -2550.8109     -2578.788     
     98000   2902.0336     -5082.0993      12419.207     -2892.2064      323.72622     -2568.4802     -2607.8739    
     99000   2966.8201      2981.0648      12419.207     -2872.0171      330.95325     -2541.0639     -2517.9563    
    100000   2939.0799     -1671.4929      12419.207     -2884.2812      327.85879     -2556.4225     -2569.379     
    101000   2967.8232     -2853.0486      12419.207     -2889.6716      331.06514     -2558.6065     -2580.7217    
    102000   2973.7026     -530.24261      12419.207     -2886.3554      331.72101     -2554.6344     -2558.7445    
    103000   3224.0683     -2781.4716      12419.207     -2895.2399      359.64967     -2535.5902     -2557.1507    
    104000   3056.4435      8245.994       12419.207     -2865.9649      340.95087     -2525.0141     -2461.0956    
    105000   2954.4691      706.86169      12419.207     -2882.1467      329.57547     -2552.5712     -2547.092     
    106000   3075.6233     -4202.6251      12419.207     -2894.6447      343.09041     -2551.5543     -2584.1307    
    107000   3021.3627      7716.7572      12419.207     -2868.9562      337.03755     -2531.9187     -2472.1025    
    108000   3018.0748     -1775.3963      12419.207     -2882.489       336.67079     -2545.8183     -2559.5802    
    109000   3193.5156      2221.3583      12419.207     -2881.6057      356.24147     -2525.3642     -2508.1454    
    110000   2879.6604      2432.4541      12419.207     -2881.3788      321.23045     -2560.1483     -2541.2932    
    111000   2903.8118      1924.1611      12419.207     -2881.1828      323.92457     -2557.2582     -2542.3431    
    112000   3093.7456      436.20594      12419.207     -2890.8446      345.11198     -2545.7326     -2542.3514    
    113000   3085.2991      1080.5488      12419.207     -2886.3254      344.16976     -2542.1557     -2533.7798    
    114000   3033.1549      3480.4452      12419.207     -2876.5743      338.353       -2538.2213     -2511.2428    
    115000   2913.9551      355.49544      12419.207     -2885.4899      325.05608     -2560.4339     -2557.6782    
    116000   3039.1539     -1981.2932      12419.207     -2889.2581      339.02219     -2550.2359     -2565.5938    
    117000   2896.2079      5284.7252      12419.207     -2875.2372      323.07635     -2552.1608     -2511.1965    
    118000   3079.6031      6777.7851      12419.207     -2868.646       343.53436     -2525.1116     -2472.5739    
    119000   2939.0826      1148.5397      12419.207     -2881.4942      327.85908     -2553.6351     -2544.7323    
    120000   3042.0238     -1527.0203      12419.207     -2888.2762      339.34233     -2548.9339     -2560.7705    
    121000   3047.2257     -573.20001      12419.207     -2884.7753      339.92261     -2544.8527     -2549.2958    
    122000   3020.0609      3853.5132      12419.207     -2873.0837      336.89234     -2536.1914     -2506.3211    
    123000   3093.346      -3626.9997      12419.207     -2893.0118      345.0674      -2547.9444     -2576.059     
    124000   2865.9597     -5720.7951      12419.207     -2898.969       319.70211     -2579.2668     -2623.6114    
    125000   2887.987       8610.4175      12419.207     -2858.7469      322.15929     -2536.5876     -2469.8443    
    126000   2998.7062      2108.5398      12419.207     -2887.158       334.51019     -2552.6478     -2536.3035    
    127000   2882.2231     -3379.6328      12419.207     -2891.2623      321.51633     -2569.746      -2595.943     
    128000   2956.1709      4049.2535      12419.207     -2878.2828      329.76531     -2548.5175     -2517.1299    
    129000   3116.5585     -840.14248      12419.207     -2888.6523      347.65679     -2540.9955     -2547.5078    
    130000   3130.4399      4554.1854      12419.207     -2872.963       349.20529     -2523.7578     -2488.4562    
    131000   3131.3817     -1227.1922      12419.207     -2891.7657      349.31034     -2542.4554     -2551.9679    
    132000   2919.9578     -3500.6601      12419.207     -2894.1544      325.72569     -2568.4288     -2595.564     
    133000   3011.4392     -2656.9955      12419.207     -2891.2585      335.93058     -2555.3279     -2575.9235    
    134000   3023.7581     -1112.2104      12419.207     -2888.5955      337.30477     -2551.2907     -2559.912     
    135000   2843.0536     -8974.9681      12419.207     -2896.0622      317.14691     -2578.9153     -2648.4844    
    136000   2939.6574     -3580.8716      12419.207     -2890.6677      327.92321     -2562.7445     -2590.5015    
    137000   2929.9286     -5781.9131      12419.207     -2896.6484      326.83794     -2569.8104     -2614.6287    
    138000   2895.7213     -560.60584      12419.207     -2882.5008      323.02207     -2559.4787     -2563.8242    
    139000   3035.1996     -4956.2892      12419.207     -2887.9395      338.58109     -2549.3584     -2587.7769    
    140000   3040.1084      844.06875      12419.207     -2882.6405      339.12867     -2543.5118     -2536.9691    
    141000   2991.7766     -4473.0389      12419.207     -2894.5788      333.73718     -2560.8417     -2595.5142    
    142000   2927.2409      2079.3715      12419.207     -2878.0923      326.53813     -2551.5542     -2535.436     
    143000   2918.1925     -0.092674124    12419.207     -2878.9726      325.52876     -2553.4438     -2553.4445    
    144000   3021.1612     -4532.8436      12419.207     -2895.8582      337.01508     -2558.8431     -2593.9793    
    145000   3023.8637      2882.1512      12419.207     -2879.0829      337.31655     -2541.7663     -2519.4254    
    146000   2888.2939     -1765.1767      12419.207     -2888.0929      322.19353     -2565.8993     -2579.582     
    147000   3059.8306     -1352.563       12419.207     -2890.121       341.32871     -2548.7923     -2559.2766    
    148000   3008.7178     -4241.8114      12419.207     -2892.9537      335.627       -2557.3267     -2590.207     
    149000   2966.4697     -4726.731       12419.207     -2898.0951      330.91416     -2567.181      -2603.82      
    150000   2984.8287     -295.07933      12419.207     -2881.8569      332.96213     -2548.8948     -2551.1821    
    151000   3039.6461     -5319.9727      12419.207     -2899.0892      339.07709     -2560.0121     -2601.2496    
    152000   3065.1853      1117.6751      12419.207     -2880.4922      341.92603     -2538.5661     -2529.9025    
    153000   2943.0354     -6636.8933      12419.207     -2894.448       328.30003     -2566.1479     -2617.5935    
    154000   3055.0843     -1930.3649      12419.207     -2889.7119      340.79925     -2548.9126     -2563.8758    
    155000   2922.7192      1406.1137      12419.207     -2884.9537      326.03372     -2558.92       -2548.0205    
    156000   2990.7081      3728.3952      12419.207     -2883.1238      333.61799     -2549.5058     -2520.6053    
    157000   2999.1588     -2662.6779      12419.207     -2896.6642      334.56067     -2562.1036     -2582.7432    
    158000   3096.3597     -480.58759      12419.207     -2885.5565      345.40358     -2540.1529     -2543.8782    
    159000   3037.3013      1608.3693      12419.207     -2881.6475      338.81553     -2542.8319     -2530.3647    
    160000   2887.4273     -4106.7921      12419.207     -2888.6968      322.09686     -2566.5999     -2598.4335    
    161000   3037.1637     -3637.5673      12419.207     -2888.1978      338.80018     -2549.3976     -2577.5941    
    162000   2895.5237     -6941.853       12419.207     -2896.5423      323.00003     -2573.5423     -2627.3518    
    163000   2894.1106     -4063.3492      12419.207     -2888.0559      322.8424      -2565.2135     -2596.7104    
    164000   2974.4243     -2939.8234      12419.207     -2891.4407      331.80151     -2559.6392     -2582.4271    
    165000   2964.7607      478.99998      12419.207     -2881.4113      330.72352     -2550.6877     -2546.9748    
    166000   2908.0243     -7949.4084      12419.207     -2891.0923      324.39448     -2566.6978     -2628.3174    
    167000   2977.3576      1447.0409      12419.207     -2881.566       332.12872     -2549.4373     -2538.2206    
    168000   3070.4131     -4528.0636      12419.207     -2895.0311      342.50921     -2552.5219     -2587.621     
    169000   3033.8549     -2933.3274      12419.207     -2892.3667      338.43108     -2553.9356     -2576.6732    
    170000   3153.7172     -1022.5473      12419.207     -2888.9677      351.8019      -2537.1658     -2545.0921    
